"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","newinc_pulm_labconf_rdx","newinc_pulm_clindx_rdx","newinc_ep_rdx","nrr","nrr_tx","conf_rr_nfqr","conf_rr_nfqr_tx","unconf_rr_nfqr_tx","rr_nfqr_014_tx","conf_rr_fqr","conf_rr_fqr_tx","nrr_hpmz_used","nrr_hpmz_tx","nrr_2hrze2hr_used","nrr_2hrze2hr_tx","mdrxdr_bpalm_used","mdrxdr_bpalm_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","rr_dst_rlt_bdq","rr_bdqr","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","vr_data_available","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Guinea-Bissau","GW",2023,2259,263,86,35,6,3,44,,2608,2652,88,2696,2259,35,0,0,1,221,17,,,47,,,,281,440,437,247,127,68,1600,0,7,,,47,,,,188,261,225,122,86,52,934,0,118,60,2652,,,,2652,2652,39,33,0,,0,0,3,,3,,3,,3,,3,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2417,736,532,0,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Guyana","GY",2023,222,122,26,32,22,0,39,,370,424,93,463,222,50,0,12,1,220,0,4,1,,,10,18,,67,63,81,54,21,314,0,1,1,0,,,10,10,,27,16,24,10,6,103,0,7,60,207,,,,457,457,6,6,0,0,0,0,0,,0,,0,,1,6,0,,0,84,39,5,1,,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,314,69,58,1,7,1,1,47,47,449,450,6440,286,449,,,0,,,,,,,,,1,,,
"Haiti","HT",2023,8384,1584,879,630,198,39,329,,10847,11714,1196,12043,8376,908,8,0,1,221,295,,,317,,,,547,1392,1987,804,735,405,5870,16,248,,,266,,,,454,1146,1683,664,406,338,4691,11,1126,62,,2675,1782,918,11600,11590,101,96,0,2,0,0,0,,1,15,0,,1,90,1,6,90,3381,370,88,13,,,,,,,,,,,27,0,,,,,,,,,,,,1,10127,1389,1184,1,1418,71,56,1184,579,12892,,,8113,12892,,,0,,,,,,,,,0,,,
"Honduras","HN",2023,2099,133,200,165,15,4,42,,2432,2616,226,2658,2099,206,0,0,1,220,17,12,7,,,55,169,,395,275,265,220,302,1681,0,11,3,14,,,50,71,,135,141,144,149,181,871,0,64,60,1262,,,,2634,2625,24,22,0,0,0,0,0,,0,,1,1,1,21,0,,22,1228,148,24,0,,,1228,148,18,0,24,0,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,2614,162,91,1,49,0,0,162,65,1195,1169,13278,712,1195,1010,1245,0,,,,,,,,,0,,,
"Hungary","HU",2023,329,125,13,14,12,0,0,0,467,493,26,493,329,14,0,53,1,220,1,0,0,,,4,9,,29,37,95,73,70,317,0,3,1,1,,,3,8,,14,25,31,24,65,170,0,6,62,,213,36,8,476,445,14,12,0,0,3,3,0,,0,,0,,1,2,0,,14,241,8,14,3,,,240,8,31,3,14,3,14,3,4,3,0,0,0,0,3,0,0,0,0,5,1,1,31,5,,,,,,,,,,,,,,,0,,,,,,,,,1,,,
"Iceland","IS",2023,9,1,4,0,0,0,2,2,14,14,2,16,1,0,8,14,1,220,0,0,0,,,0,1,,3,2,3,0,0,9,0,0,0,1,,,0,0,,3,0,0,1,0,4,0,1,62,,4,0,2,16,16,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"India","IN",2023,1013854,668550,581503,102295,10014,6498,135096,,2263907,2382714,253903,2517810,1013854,160443,0,0,1,220,21180,20657,26212,,,88750,132151,,248664,236343,244721,225887,194193,1370709,0,13023,15446,38695,,,115270,143375,,214018,129611,108933,91408,74177,876792,0,135213,62,,581221,80431,100189,2454147,2417297,52015,48107,1515,1554,12580,9158,0,,0,,1,41,1,31443,1,20646,52132,830611,137679,34761,24061,89911,22230,295130,59913,25770,17255,16670,12108,11606,8696,24866,11134,3,11,86,9,116,1885,8,119,8897,644,30,1,2278344,34476,34297,1,124522,,,34297,,,137465,,,,,,0,,,,,,,,,0,,,
"Indonesia","ID",2023,376117,341517,64233,15185,6831,953,16364,,781867,804836,39333,821200,308824,27398,67293,242,1,220,41159,19754,9474,,,19569,32877,,63632,67647,77164,75333,58813,395035,,37259,17808,11146,,,25299,32933,,49252,44742,50382,43102,27491,273201,,136600,62,,363768,111554,12636,808997,713877,11618,8733,0,70,575,630,0,,0,,1,178,1,6632,1,2512,6207,284931,27307,5919,4882,15166,2469,2936,4918,1797,2062,2921,2433,1788,1797,6484,574,1,5,1,16,449,5,0,5,92,5478,53,1,461158,16162,6736,1,48714,506,177,6736,,,,,2847,46370,,,0,,,,,,,,,0,,,
"Iran (Islamic Republic of)","IR",2023,4771,816,1407,305,86,40,222,,6994,7425,653,7647,4771,493,0,1882,1,220,32,33,28,,,153,258,,613,690,586,613,1225,4138,0,34,33,47,,,145,181,,332,313,354,541,1214,3080,0,207,60,235,,,,7612,7612,35,27,0,0,3,2,0,,0,,0,,1,27,0,,27,1951,340,14,20,,,779,229,29,37,14,20,8,9,26,3,0,0,0,0,1,0,0,0,2,17,0,1,7064,117,111,,,,,117,36,1711,207,18178,86,1711,415,436,0,,,,,,,,,1,,,
"Iraq","IQ",2023,2223,1305,3089,155,66,107,74,,6617,6945,402,7019,2223,176,0,55,1,221,96,,,145,,,,554,875,756,677,363,425,3650,0,61,,,229,,,,612,469,437,431,357,458,2764,0,531,60,519,,,,6876,6856,113,113,16,7,14,14,0,,0,,1,10,1,119,0,,143,2223,176,79,48,,,2223,176,18,26,79,48,17,25,127,14,,,,,,,,,,,,1,5753,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,
"Ireland","IE",2023,115,25,67,,,,16,1,207,207,16,223,76,11,39,150,1,220,1,0,3,,,2,13,,30,25,19,11,21,121,0,1,1,2,,,3,8,,19,15,10,6,17,78,0,8,62,,87,1,37,221,217,1,1,0,0,1,1,3,,3,,3,,3,,3,,8,71,9,2,0,,,70,9,5,0,2,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,75,6,5,,,,,,,,,,,,,,0,,,,,,,,,1,,,
"Israel","IL",2023,119,39,65,3,1,0,0,0,223,227,4,227,119,3,0,176,1,220,7,1,1,,,2,9,,28,34,24,21,22,140,,5,3,0,,,2,5,,22,14,11,6,10,70,,17,0,,,,,219,219,7,7,0,0,1,1,3,,3,,3,,3,,3,,,119,3,8,0,,,119,3,17,0,8,0,5,0,8,1,,,,,,,,,1,0,,1,227,10,10,,,,,,,,,,,,,,0,,,,,,,,,1,10,5,10
"Italy","IT",2023,1659,344,704,0,0,0,186,25,2707,2707,186,2893,1014,130,645,1745,1,220,31,28,18,,,124,215,,375,294,238,201,321,1768,0,32,20,13,,,40,53,,149,142,119,106,188,797,0,142,62,,961,0,307,1859,,39,,,,13,,,,,,,,,,,,,1383,18,48,1,,,1383,18,134,5,48,1,40,1,38,15,0,0,0,1,0,9,0,0,5,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jamaica","JM",2023,78,0,4,1,0,0,9,,82,83,10,92,72,7,6,0,1,220,0,0,0,,,5,11,,19,10,4,10,6,65,0,0,0,0,,,1,3,,4,4,3,3,0,18,0,0,0,,,,,0,0,,,,,,,0,,0,,0,,0,,0,,,72,7,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,13,13,13,0,,,,13,5,1115,,,,,,,0,,,,,,,,,,,,
"Japan","JP",2023,6346,838,2487,271,40,114,,,9671,10096,425,10096,6256,271,90,1619,1,220,11,3,2,,,53,282,,435,254,413,511,3960,5908,0,9,3,9,,,38,239,,401,196,237,260,2780,4151,0,37,0,,,,,10038,9639,58,56,,0,,,0,,0,,0,,1,,0,,,4320,156,41,9,,,4313,155,230,20,41,9,26,7,,,,,,,,,,,,,,1,650,14,,,,,,,,,,,,,,,0,,,,,,,,,1,1575936,35513,1587
"Jordan","JO",2023,86,26,131,2,2,4,7,,243,251,15,258,86,9,0,72,1,220,3,2,3,,,2,9,,37,23,18,10,11,110,0,4,3,5,,,10,7,,32,40,12,11,9,121,0,20,62,,86,26,32,255,255,3,3,0,0,0,0,0,,0,,0,,0,,0,,3,84,5,3,0,,,84,5,3,0,3,0,2,0,3,0,,,,,,,,,,,,1,239,0,0,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Kazakhstan","KZ",2023,5483,718,803,1943,427,132,166,34,7004,9506,2668,9672,5483,2075,0,158,1,220,53,37,52,,,228,223,,787,1358,1357,1129,693,5775,0,41,46,83,,,232,263,,631,584,476,482,751,3419,0,312,60,9411,,,,5880,5854,3193,2965,893,34,599,599,0,,0,,1,10,1,3567,1,33,,5482,2072,1709,1225,1943,1109,5482,2072,1668,1264,1709,1225,1496,1143,,451,,,,,,,,,,1227,7,1,9316,573,533,,,,,533,205,3416,2686,28855,2368,3416,2941,2984,0,,,,,,,,,1,130596,,244
"Kenya","KE",2023,43730,33400,11806,3244,2087,386,2473,,88936,94653,8190,97126,43713,4777,17,0,1,220,3987,1219,1355,,,3220,5229,,13222,13767,9269,4718,4192,53617,0,3794,1083,1342,,,2410,3390,,6924,6226,4364,2528,2414,28256,0,12780,62,,34283,13730,3420,96644,96644,380,372,0,0,8,8,0,,0,,0,,1,372,1,8,380,30474,3473,248,132,,,430,132,179,15,248,132,37,15,47,8,1,0,0,7,0,0,0,0,0,40,0,1,92896,23789,23325,1,12138,1282,1261,,4625,91018,121991,1338251,,,90700,122219,0,,,,,,,,,0,,,
"Kiribati","KI",2023,240,121,177,8,12,7,0,,538,565,27,565,240,8,0,0,,221,48,,,55,,,,42,29,28,31,31,21,182,0,32,,,32,,,,74,29,34,26,26,27,216,0,167,62,,247,101,113,563,563,2,2,0,0,0,0,0,,0,,1,2,0,,0,,2,238,8,1,1,,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,216,0,0,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Kosovo","XA",2023,170,261,127,12,7,4,4,1,558,581,27,585,170,15,0,0,1,221,4,,,13,,,,30,47,32,37,51,88,285,0,7,,,10,,,,32,31,36,32,46,85,262,0,34,60,245,,,,585,585,0,2,0,0,0,0,0,,0,,0,,1,2,0,,0,170,15,0,2,,,,,,,,,,,1,0,,,,,,,,,,,,1,196,1,0,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Kuwait","KW",2023,218,50,142,0,0,0,0,,410,410,0,410,218,0,0,324,1,221,3,,,2,,,,21,65,89,59,17,10,261,0,1,,,2,,,,5,56,38,24,10,8,141,0,8,62,,218,50,142,404,404,6,6,0,0,1,1,0,,0,,0,,1,7,0,,7,218,0,7,0,,,218,0,23,0,7,0,7,0,7,1,,,,,,,,,,,,1,410,2,2,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Kyrgyzstan","KG",2023,2191,806,750,290,110,36,491,62,3747,4183,927,4674,2190,678,1,,1,221,47,,,101,,,,489,444,355,388,347,245,2268,,40,,,83,,,,371,357,212,176,203,325,1644,,271,60,3778,,,,3930,3783,626,593,59,47,117,107,0,,0,,1,74,1,544,1,46,590,2094,626,438,254,267,105,2026,625,578,301,371,254,303,228,647,103,2,6,,5,89,,1,,,692,13,1,4048,141,105,,,,,101,56,1025,486,6358,332,1025,575,647,0,,,,,,,,,1,31500,866,312
"Lao People's Democratic Republic","LA",2023,5344,2890,428,281,173,8,91,,8662,9124,553,9215,5344,342,0,39,1,220,15,22,17,,,114,337,,1007,952,1075,1242,1378,6105,0,21,7,21,,,65,164,,335,386,528,662,776,2916,0,103,62,,5623,3029,409,9173,9173,42,39,0,0,0,0,0,,0,,1,1,0,,1,38,39,5344,342,26,16,,,,,,,,,,,39,0,,,,,,,,,,,,1,8052,376,353,,,,,353,238,2066,2044,11682,1308,2066,1149,2061,0,,,,,,,,,0,,,
"Latvia","LV",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lebanon","LB",2023,313,37,154,1,0,0,10,,504,505,11,515,311,9,2,262,1,220,8,6,10,,,10,17,,48,45,33,24,26,203,0,6,10,8,,,17,39,,100,47,24,16,11,254,0,48,62,,302,22,37,510,507,4,4,0,0,0,0,0,,0,,0,,1,3,1,1,4,302,9,2,2,,,302,9,7,3,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,359,3,2,,,,,2,0,226,2,2298,1,226,,,0,,,,,,,,,0,,,
"Lesotho","LS",2023,2807,2138,380,509,593,68,105,,5325,6495,1275,6600,2807,581,,,,220,87,55,41,,,77,112,,533,790,718,685,1330,4245,,80,59,45,,,95,134,,355,432,331,186,350,1883,,367,60,4565,,,,6512,6470,118,117,0,3,5,6,,,0,,1,15,1,30,1,78,123,2409,468,69,19,,,69,,0,,69,,,,88,5,,,,,,,,,,,,1,6327,3150,3081,1,316,47,44,3081,,,16371,242533,,,,,0,,,,,,,,,0,,,
"Liberia","LR",2023,4872,1050,1321,99,26,15,160,,7243,7383,300,7543,4866,112,6,0,,221,225,,,185,,,,812,1188,1046,683,365,226,4320,1,225,,,165,,,,479,530,497,350,238,146,2240,4,800,60,2440,,,,7387,7387,156,120,0,2,0,0,0,,0,,0,,0,,1,120,120,2376,50,156,0,,,120,,120,,120,,120,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6446,692,580,0,,,,822,330,6406,,,3456,6406,,,0,,,,,,,,,1,246,0,0
"Libya","LY",2023,1157,310,834,17,,,103,,2301,2318,120,2421,1157,85,0,647,1,222,,,,,39,,,499,552,232,149,90,85,1607,0,,,,,71,,,177,124,97,82,72,49,601,0,110,62,,,,,2318,,,13,0,,1,,0,,0,,0,,1,1,1,12,,1050,,8,5,,,3,2,1,2,3,2,1,2,6,1,0,0,0,0,1,0,0,0,0,1,1,1,1648,60,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Lithuania","LT",2023,503,38,78,85,0,3,16,0,619,707,104,723,503,101,0,27,1,220,6,6,2,,,8,5,,39,81,129,134,99,495,0,3,8,9,,,10,9,,26,23,29,20,61,178,0,34,62,,0,0,0,607,607,90,90,0,0,26,26,,,,,,,,,,,,503,101,77,39,,,503,101,107,39,77,39,72,35,66,26,0,1,0,1,20,0,0,0,4,64,1,1,687,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luxembourg","LU",2023,27,2,12,1,0,0,4,0,41,42,5,46,19,4,8,43,1,220,0,1,0,,,2,1,,6,2,5,3,5,24,0,0,1,1,,,0,3,,5,3,2,1,1,15,0,3,62,,22,1,9,45,45,1,1,0,0,0,0,3,,3,,3,,3,,3,,0,17,3,1,0,,,17,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,2,,,,,,,,,,,,,,,0,,,,,,,,,1,,,
"Madagascar","MG",2023,28934,5476,9298,1770,349,593,1163,,43708,46420,3875,47583,28934,2522,0,0,1,221,761,,,1146,,,,4631,5852,5235,4491,3187,2151,25547,0,719,,,1311,,,,4319,4142,3121,2503,1703,1148,16936,0,3937,60,7021,,,,47485,47485,98,87,0,2,0,0,0,,0,,0,,1,1,1,86,87,6086,935,8,90,,,16,334,0,24,8,90,0,24,48,0,,,,,,,,,,,,1,33379,977,824,,,,,974,821,974,,,,,237,237,0,,,,,,,,,0,,,
"Malawi","MW",2023,7754,3200,5868,938,476,548,245,,16822,18784,2207,19029,7754,1106,0,0,1,221,278,,,432,,,,1061,2432,2921,2046,1084,1093,10637,0,228,,,401,,,,945,1468,1660,1295,792,648,6808,0,1339,60,8542,,,,18910,18910,107,102,7,4,4,3,3,,0,,0,,1,25,1,87,112,4739,870,44,23,,,,,,,,,,,,4,,,,,,,,,,,,1,18748,8872,8751,0,,,,8751,2039,66462,,,47297,66462,,,0,,,,,,,,,0,,,
"Malaysia","MY",2023,14677,6429,3506,902,477,158,632,,24612,26149,2169,26781,14677,1060,0,4101,1,220,455,207,156,,,511,1027,,2749,2865,2963,2915,2868,15898,,379,216,260,,,584,916,,1732,1465,1315,1284,1282,8578,,1673,60,5340,,,,26616,26569,165,139,,4,9,8,0,,0,,0,,1,18,1,7,139,11543,990,83,91,,,11542,982,174,109,82,83,25,24,105,9,0,1,0,0,8,0,0,0,0,96,0,1,25239,1016,360,,,,,360,249,3591,1205,45701,680,3591,,,0,,,,,,,,,0,,,
"Maldives","MV",2023,50,27,40,0,0,0,1,,117,117,1,118,50,0,0,26,1,220,0,0,0,,,1,6,,19,22,11,12,13,84,0,0,1,1,,,1,4,,6,6,4,6,4,31,0,2,60,116,,,,117,117,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,38,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,0,0,,,,,0,0,3,,,,,0,0,0,,,,,,,,,0,,,
"Mali","ML",2023,5363,1143,1477,179,97,7,185,,7983,8266,468,8451,5363,341,0,0,,221,57,,,128,,,,732,1312,1096,881,703,620,5344,0,52,,,121,,,,467,587,529,364,337,280,2564,0,358,60,7126,,,,8266,43,43,43,0,0,0,0,0,,0,,1,0,0,,1,43,0,1474,69,30,13,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7156,472,467,,,,,467,396,11666,,,6786,11270,,,0,,,,,,,,,0,,,
"Malta","MT",2023,32,17,19,0,0,0,0,0,68,68,0,68,32,0,0,64,1,220,0,0,0,,,1,4,,26,13,4,4,0,52,0,0,0,1,,,0,0,,4,7,1,1,2,15,0,1,62,,0,0,0,68,68,0,0,0,0,0,0,0,,3,,3,,3,,3,,,28,0,0,0,,,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,3,3,,,,,,,,,,,,,,0,,,,,,,,,1,0,0,0
"Marshall Islands","MH",2023,86,41,81,4,3,0,1,,208,215,8,216,86,4,0,0,1,221,19,,,28,,,,14,6,9,12,17,7,65,,17,,,27,,,,8,10,7,8,13,13,59,,91,62,,42,19,30,215,215,1,1,0,1,1,0,0,,0,,0,,1,1,0,,1,40,4,0,1,,,40,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,,,,,,,,,,,,,,0,,,,,,,,,1,,2,2
"Mauritania","MR",2023,1228,488,664,46,8,6,5,,2380,2440,65,2445,1228,51,0,35,1,222,,,,,63,,,297,370,256,199,216,223,1561,6,,,,,58,,,189,171,119,93,98,82,752,0,121,0,,,,,2409,2409,36,36,0,0,1,1,0,,0,,0,,1,1,1,35,36,0,51,0,36,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1947,49,34,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Mauritius","MU",2023,99,0,4,0,0,0,0,,103,103,0,103,99,0,0,10,1,220,0,0,1,,,2,3,,12,15,17,20,9,78,0,0,0,0,,,3,2,,6,6,1,3,3,24,0,1,60,103,,,,103,103,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,99,0,0,0,,,99,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,103,17,17,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Mexico","MX",2023,15953,4709,4863,1111,253,141,1271,,25525,27030,2776,28301,15872,2382,81,9,1,220,151,81,146,,,740,1401,,3116,3066,3277,2640,2556,16796,0,129,73,189,,,588,823,,1572,1501,1802,1577,1602,9465,0,769,60,6941,,,,27857,26367,444,327,0,8,16,13,0,,0,,0,,1,340,0,,340,6578,1624,256,177,,,482,261,201,111,251,165,90,47,427,14,1,0,0,0,13,0,0,0,0,14,1,1,21365,2434,1606,1,352,16,,,,,,,,,,,0,,,,,,,,,0,,,
"Micronesia (Federated States of)","FM",2023,26,181,4,0,0,0,0,,211,211,0,211,26,0,0,3,1,220,9,15,13,,,9,3,,11,12,14,19,17,85,0,9,17,8,,,4,3,,9,20,8,11,8,63,0,71,60,165,,,,207,207,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,208,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,,
"Monaco","MC",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mongolia","MN",2023,1499,315,699,330,74,81,183,,2513,2998,668,3181,1499,491,0,0,1,221,21,,,68,,,,217,330,391,344,311,147,1740,,18,,,60,,,,214,293,203,139,116,126,1091,,167,60,2691,,,,3008,2983,154,145,11,2,162,153,0,,0,,1,5,1,33,1,95,10,1462,446,72,44,314,31,1462,446,84,49,72,44,8,19,95,8,0,0,0,0,7,0,0,0,1,0,0,1,2761,3,3,,,,,3,1,23,0,262,0,23,0,0,0,,,,,,,,,1,17533,135,222
"Montenegro","ME",2023,46,8,1,6,1,0,0,0,55,62,7,62,46,6,0,7,1,221,0,,,0,,,,2,3,5,8,9,13,40,0,0,,,0,,,,1,3,2,4,3,9,22,0,0,60,62,,,,62,62,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,46,6,0,0,,,46,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,2,2,,,,,,,,,,,,,,0,,,,,,,,,1,1,,
"Montserrat","MS",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
